"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Cuba","CUB","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0890802570357369","0","0","","0.0884415554322484","0.0883019283110199","2.82308710044165","8.46616167776043","16.052018417839",
"Curacao","CUW","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","13.1502814160223","1313.20617336922","1455.97752535133","2525.6361564755","2912.36596853392","3165.28796628687","3784.82192569237",
"Cayman Islands","CYM","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1676.31281761717","2937.21275787","3935.00457953119","3754.25482213175","4338.67998948199","4973.75413129415","5226.23024181304","6058.50241393456","11531.149686789",
"Cyprus","CYP","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275.927277433643","406.282532607063","1506.54687122813","980.884124539063","2426.48303154168","2377.29169627515","4550.55474039619","17364.0309236403","6372.00287572576",
"Czech Republic","CZE","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","305.506467667391","470.079900244739","834.666487802766","1079.86553895505","1417.62547116024","2048.8222188023","11991.389254095","25419.9420488373","42361.4643559786",
"Germany","DEU","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1049.31794333683","1471.90314571602","2194.9044898179","2601.18328828955","3352.78609576143","4297.92588653237","11624.9602042748","34181.2784354313","56391.5613368438",
"Djibouti","DJI","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.76078257744008","7.02844411332663","1.15189325174857","4.52850866020675","8.90178658856833","10.9410028304374","11.8392615744926","22.2434771003403","37.5422350143912",
"Dominica","DMA","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.3262507407094","70.5059507022393","197.280349468048","168.976005407232","225.082647534642","266.917662925137","5357.11781452031","6969.12871896779","6631.76265270506",
"Denmark","DNK","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1588.05036264689","2368.15896105463","3064.43340083969","3458.45684328857","4349.80220520158","6004.944503221","24041.3337267218","43757.82743392","123073.505126223",
"Dominican Republic","DOM","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.861636383909","13.7569663749171","24.0662714629101","26.8704200861764","34.2345210285545","46.3931964426047","93.2894763796335","98.1629544994731","121.669325732686",
